location
"117.490187, 31.601201"
"117.264108, 31.884188"
"117.217154, 31.788723"
"117.455354, 31.896648"
"117.320959, 31.880502"
"0, 0"
"0, 0"
"117.303542, 31.86832"
"117.281627, 31.850133"
"117.306318, 31.833793"
"117.244613, 31.838488"
"117.246867, 31.897689"
"117.336154, 31.900907"
"117.31292, 31.74826"
"117.301404, 31.900028"
"117.172646, 31.801886"
"0, 0"
"117.121898, 31.857095"
"0, 0"
"117.292693, 31.937921"
"117.316833, 31.86544"
"117.2594, 31.979841"
"117.262966, 31.978334"
"117.313643, 31.930586"
"117.16085, 31.85885"
"117.16288, 31.859449"
"117.160149, 31.859503"
"117.294476, 31.706685"
"117.233526, 31.853422"
"117.121898, 31.857095"
"117.121898, 31.857095"
"117.368839, 31.893104"
"117.368362, 31.893727"
"117.484358, 31.892207"
"117.187722, 31.742236"
"117.184008, 31.741333"
"117.264405, 31.875804"
"117.342729, 31.802406"
"117.338631, 31.802245"
"117.342479, 31.805478"
"117.337323, 31.803466"
"117.346875, 31.802443"
"117.34832, 31.801925"
"117.339474, 31.804566"
"117.339474, 31.804566"
"117.326821, 31.802256"
"117.321564, 31.801889"
"117.330776, 31.803465"
"117.324427, 31.800728"
"117.276899, 31.886791"
"117.268512, 31.843235"
"117.334411, 31.873901"
"117.257594, 31.840066"
"117.355386, 31.852411"
"117.303059, 31.88518"
"117.256634, 32.037596"
"117.266009, 31.977518"
"117.357478, 31.939737"
"117.835053, 31.718203"
"117.249734, 31.905017"
"117.297224, 31.911303"
"117.27659, 31.896245"
"117.239941, 31.852175"
"117.238027, 31.846142"
"117.297663, 31.888984"
"117.262954, 31.983177"
"117.291673, 31.896417"
"117.867475, 31.603879"
"117.252466, 31.869213"
"117.302813, 31.83766"
"117.319301, 31.879904"
"117.282006, 31.871992"
"117.259061, 31.99554"
"117.186692, 31.858522"
"117.329713, 31.863667"
"117.133762, 31.858009"
"117.237216, 31.842575"
"117.299067, 31.868355"
"117.353688, 31.87337"
"0, 0"
"117.275622, 31.794829"
"117.273205, 31.848796"
"117.283382, 31.722999"
"117.397683, 31.884851"
"117.227391, 31.779165"
"117.110664, 31.774222"
"117.108852, 31.773145"
"117.106239, 31.77621"
"117.430888, 31.835882"
"117.201307, 31.755827"
"117.233692, 31.838262"
"117.23187, 31.83814"
"117.231308, 31.838318"
"117.234047, 31.84082"
"117.274566, 31.925337"
"117.263329, 32.032171"
"117.240394, 31.786663"
"117.205744, 31.824367"
"117.163279, 31.72609"
"117.179327, 31.749114"
